deposit_count,borrow_count,repay_count,redeem_count,liquidation_count,total_liquidated_collateral_usd,total_liquidated_principal_usd,avg_time_gap,min_time_gap,burst_count,total_transactions,total_deposit_usd,total_borrow_usd,total_repay_usd,total_redeem_usd,total_liquidatcall_usd,is_risky_actual,ML_score_0_1000,score_range
6,0,0,0,0,0.0,0.0,271111972.5,4574,0,6,2.1117604116621547e+21,0.0,0.0,0.0,0.0,0,1000,
3,5,3,1,0,0.0,0.0,135328975.83333334,0,3,12,2.1718297359779986e+21,2225926764.6151285,2225903365.7989125,1.7992207965491899e+21,0.0,0,950,"[900, 1000)"
1,1,1,0,0,0.0,0.0,542067297.3333334,70,1,3,480931472366873.1,120232870391509.47,120232870391509.47,0.0,0.0,0,840,"[800, 900)"
2,0,0,0,0,0.0,0.0,813350932.5,108993,0,2,3.237523174004774e+18,0.0,0.0,0.0,0.0,0,1000,
12,3,4,6,2,5.6186173777960055e+22,53510641693.29529,60267807.074074075,20,9,27,1.3831367788356305e+23,94130100292.02794,40840212197.05904,3.1342106763301468e+22,0.0,1,110,"[100, 200)"
6,1,1,9,0,0.0,0.0,95714679.0,0,4,17,5.862889925331754e+21,500665580.5433755,500969723.66161007,2.967691481005837e+21,0.0,0,850,"[800, 900)"
1,0,0,0,0,0.0,0.0,0.0,0,0,1,1.5442883991432906e+18,0.0,0.0,0.0,0.0,0,1000,
2,1,1,2,0,0.0,0.0,270604190.8333333,0,3,6,1.2179274890105074e+22,9.68296188104177e+21,9.702703722179773e+21,1.2200883823300403e+22,0.0,0,990,"[900, 1000)"
26,20,18,28,0,0.0,0.0,17662471.18478261,0,71,92,3.4172904872704536e+24,2.505299822554609e+24,2.939709897260549e+24,4.468162832746799e+24,0.0,1,0,"[0, 100)"
12,5,0,20,0,0.0,0.0,44049327.86486486,0,13,37,3.3171007704367743e+19,917402818.3810866,0.0,5.1870951665490854e+20,0.0,1,70,"[0, 100)"
1,0,0,1,0,0.0,0.0,809520158.0,24,1,2,1.5483637199839355e+21,0.0,0.0,1.5483637553857673e+21,0.0,0,1000,
